Far field
"Phi"[deg]	"FarField1 [dBV]"	
1.48000000E+02	-7.36686622E+00	
1.48500000E+02	-7.84759169E+00	
1.49000000E+02	-8.34706074E+00	
1.49500000E+02	-8.86584614E+00	
1.50000000E+02	-9.40461860E+00	
1.50500000E+02	-9.96415943E+00	
1.51000000E+02	-1.05453753E+01	
1.51500000E+02	-1.11493157E+01	
1.52000000E+02	-1.17771930E+01	
1.52500000E+02	-1.24304063E+01	
1.53000000E+02	-1.31105688E+01	
1.53500000E+02	-1.38195399E+01	
1.54000000E+02	-1.45594607E+01	
1.54500000E+02	-1.53327941E+01	
1.55000000E+02	-1.61423661E+01	
1.55500000E+02	-1.69914036E+01	
1.56000000E+02	-1.78835594E+01	
1.56500000E+02	-1.88229021E+01	
1.57000000E+02	-1.98138275E+01	
1.57500000E+02	-2.08608084E+01	
1.58000000E+02	-2.19678122E+01	
1.58500000E+02	-2.31370586E+01	
1.59000000E+02	-2.43664923E+01	
1.59500000E+02	-2.56448675E+01	
1.60000000E+02	-2.69428505E+01	
1.60500000E+02	-2.81992320E+01	
1.61000000E+02	-2.93070599E+01	
1.61500000E+02	-3.01200101E+01	
1.62000000E+02	-3.05088190E+01	
1.62500000E+02	-3.04476737E+01	
1.63000000E+02	-3.00348058E+01	
1.63500000E+02	-2.94192302E+01	
1.64000000E+02	-2.87252597E+01	
1.64500000E+02	-2.80297344E+01	
1.65000000E+02	-2.73716530E+01	
1.65500000E+02	-2.67671641E+01	
1.66000000E+02	-2.62203514E+01	
1.66500000E+02	-2.57294606E+01	
1.67000000E+02	-2.52901713E+01	
1.67500000E+02	-2.48972297E+01	
1.68000000E+02	-2.45452292E+01	
1.68500000E+02	-2.42289615E+01	
1.69000000E+02	-2.39435553E+01	
1.69500000E+02	-2.36845144E+01	
1.70000000E+02	-2.34477116E+01	
1.70500000E+02	-2.32293653E+01	
1.71000000E+02	-2.30260138E+01	
1.71500000E+02	-2.28344935E+01	
1.72000000E+02	-2.26519236E+01	
1.72500000E+02	-2.24756973E+01	
1.73000000E+02	-2.23034788E+01	
1.73500000E+02	-2.21332062E+01	
1.74000000E+02	-2.19630950E+01	
1.74500000E+02	-2.17916443E+01	
1.75000000E+02	-2.16176399E+01	
1.75500000E+02	-2.14401553E+01	
1.76000000E+02	-2.12585476E+01	
1.76500000E+02	-2.10724481E+01	
1.77000000E+02	-2.08817469E+01	
1.77500000E+02	-2.06865730E+01	
1.78000000E+02	-2.04872686E+01	
1.78500000E+02	-2.02843615E+01	
1.79000000E+02	-2.00785346E+01	
1.79500000E+02	-1.98705958E+01	
1.80000000E+02	-1.96614486E+01	
